id_penyelenggara;Penyelenggara;URL Penyelenggara
1;DNCC (Dinus Nuswantoro Computer Club), Universitas Dian Nuswantoro;http://dinacom.dinus.ac.id/
2;BEM FISIP UNPAD;https://instagram.com/universecup2020?igshid=18ofd8x4wom6p
3;MTQTU;https://www.instagram.com/p/BvKD3VJl6KB/?igshid=g6thtx8krpao
4;ECCouncil Foundation;
5;Cabang Pusdiklatpassus Batujajar;http://www.ppsbetakomerpatiputih.com/
6;Dojang UIN SDG Bandung;https://www.youtube.com/watch?v=BR9-V9p5QF4
7;Institut Taekwondo Nusantara (ITN);https://kahijinews.com/2019/02/1620-taekwondoin-tampil-di-itn-open-iii/
8;Interkultur, Germany;
9;BPK Penabur & Bandung Choral Society;http://www.bandungchoral.com/modul/events/view/98
10;HIMPUNI (Perhimpunan Organisasi Alumni PTN Indonesia);http://www.festivalfolklorhimpuni.org/
11;Universitas Muhammadiyah Surabaya;https://www.lomba.events/2019/10/lomba-business-plan-nasional-um.html
12;Asia Pacific ICT Alliance Awards 2017 dan Basis Bangladesh;http://apicta.com
13;Universitas Nasional Jakarta;https://eventjakarta.com/event/it-fun-3-0-art-of-technology/
14;UNAIR;
15;ESC UIN Alauddin Makassar;https://escofuinam.blogspot.com/
16;Universitas Islam Negeri Alauddin Makassar;https://escofuinam.blogspot.com/
17;Himpunan Mahasiswa Ilmu Komputer  Universitas Udayana, Bali;https://invention-udayana.com/
18;Universitas Indonesia, Departemen Teknik Mesin;
19;Teknik Perkapalan Universitas Diponegoro;https://jadwalevent.web.id/deconbotion-rc-boat-competition-2015-undip#.XlTh1nCYPIU
20;PPS Paku Bumi;https://pencaksilatpakubumi.com/
21;BEE (Beyond Engineering Education) and Korea Institute for the Advancement of Technology;http://www.e2festa.kr/program/03.php
22;Universitas Bunda Mulia;
23;JS Luwansa, Jakarta;
24;Huawei;https://www.huaweiacad.com/webapps/hw-toboo-BBLEARN/portal/exec.do?operation=match&lang=en_US
25;UKM Taekwondo Telkom University;
26;Cimahi;https://drive.google.com/file/d/1cz3Zfmdyx_OE_LjWfGxJUtG0CmA7wsLI/view?usp=drivesdk
27;New Pandawa II;https://taekwondokuningan.wordpress.com/2019/11/13/new-pandawa-ii-tahun-2019/
